public_identifier;num_languages;language
%CE%B4%CE%B7%CE%BC%CE%AE%CF%84%CF%81%CE%B7%CF%82-%CE%BC%CE%B1%CE%BD%CE%B9%CE%AC%CF%84%CE%B7%CF%82-166ab5b8;1;English
%CE%B4%CE%B7%CE%BC%CE%AE%CF%84%CF%81%CE%B7%CF%82-%CE%BC%CE%B1%CE%BD%CE%B9%CE%AC%CF%84%CE%B7%CF%82-166ab5b8;2;Greek
%CE%BC%CE%AC%CE%BD%CE%BF%CF%82-%CE%B3%CE%B5%CF%89%CF%81%CE%B3%CE%B9%CE%AC%CE%B4%CE%B7%CF%82-a59746a3;1;Greek
%CE%BC%CE%B9%CF%87%CE%AC%CE%BB%CE%B7%CF%82-%CF%85%CE%B3%CE%B5%CE%B9%CE%BF%CE%BD%CE%BF%CE%BC%CE%AC%CE%BA%CE%B7%CF%82-michael-igionomakis-7b7138101;1;English
%CE%BC%CE%B9%CF%87%CE%AC%CE%BB%CE%B7%CF%82-%CF%85%CE%B3%CE%B5%CE%B9%CE%BF%CE%BD%CE%BF%CE%BC%CE%AC%CE%BA%CE%B7%CF%82-michael-igionomakis-7b7138101;2;German
%CF%81%CF%89%CE%BC%CE%B1%CE%BD%CE%BF%CF%82-%CF%81%CF%89%CE%BC%CE%B1%CE%BD%CE%BF%CF%82-98a34b34;1;English
%CF%81%CF%89%CE%BC%CE%B1%CE%BD%CE%BF%CF%82-%CF%81%CF%89%CE%BC%CE%B1%CE%BD%CE%BF%CF%82-98a34b34;2;Greek
%CF%81%CF%89%CE%BC%CE%B1%CE%BD%CE%BF%CF%82-%CF%81%CF%89%CE%BC%CE%B1%CE%BD%CE%BF%CF%82-98a34b34;3;Russian
%CF%81%CF%89%CE%BC%CE%B1%CE%BD%CE%BF%CF%82-%CF%81%CF%89%CE%BC%CE%B1%CE%BD%CE%BF%CF%82-98a34b34;4;Romanian
%CF%83%CE%BC%CE%BF%CE%BB%CE%BF%CE%BA%CF%84%CE%BF%CF%82-%CE%BD%CE%AF%CE%BA%CE%BF%CF%82-53a35929;1;Greek
%D0%B0%D0%B9%D0%B3%D1%83%D0%BB%D1%8C-%D1%88%D0%B0%D0%B9%D1%85%D1%83%D0%BD%D0%BE%D0%B2%D0%B0-19a564a6;1;English
%D0%B0%D0%B9%D0%B3%D1%83%D0%BB%D1%8C-%D1%88%D0%B0%D0%B9%D1%85%D1%83%D0%BD%D0%BE%D0%B2%D0%B0-19a564a6;2;NorthAmericanIndianlanguages
%D0%B0%D0%BA%D0%BC%D0%B0%D0%BB%D1%8C-%D0%B4-28477163;1;English
%D0%B0%D0%BA%D0%BC%D0%B0%D0%BB%D1%8C-%D0%B4-28477163;2;Russian
%D0%B0%D0%BB%D0%B5%D0%BA%D0%BF%D0%B5%D1%80-%D0%B3%D0%B0%D1%81%D0%B0%D0%BD%D0%BE%D0%B2-694168b5;1;\u0440\u0443\u0441\u0441\u043a\u0438\u0439
%D0%B0%D0%BB%D0%B5%D0%BA%D0%BF%D0%B5%D1%80-%D0%B3%D0%B0%D1%81%D0%B0%D0%BD%D0%BE%D0%B2-694168b5;2;\u0420\u0443\u0441\u0441\u043a\u0438\u0439
%D0%B0%D0%BB%D0%B5%D0%BA%D0%BF%D0%B5%D1%80-%D0%B3%D0%B0%D1%81%D0%B0%D0%BD%D0%BE%D0%B2-694168b5;3;\u0422\u0443\u0440\u0435\u0446\u043a\u0438\u0439
%D0%B0%D0%BB%D0%B5%D0%BA%D0%BF%D0%B5%D1%80-%D0%B3%D0%B0%D1%81%D0%B0%D0%BD%D0%BE%D0%B2-694168b5;4;\u0410\u0437\u0435\u0440\u0431\u0430\u0439\u0434\u0436\u0430\u043d\u0441\u043a\u0438\u0439
%D0%B0%D0%BB%D0%B5%D0%BA%D0%BF%D0%B5%D1%80-%D0%B3%D0%B0%D1%81%D0%B0%D0%BD%D0%BE%D0%B2-694168b5;5;\u0410\u043d\u0433\u043b\u0438\u0439\u0441\u043a\u0438\u0439
%D0%B0%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80-%D0%BA%D0%B5%D0%BB%D0%BB%D0%B0-135a1374;1;\u0420\u0443\u0441\u0441\u043a\u0438\u0439
%D0%B0%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80-%D0%BA%D0%B5%D0%BB%D0%BB%D0%B0-135a1374;2;Twi
